repo,author,sha,additions,deletions,delta_nloc,before_ccn_sum,after_ccn_sum,delta_ccn_sum,before_ccn_mean,after_ccn_mean,delta_ccn_mean,linhas_por_abs_delta_ccn
alisha-allie/Sorted-TheNewApp,alishaallie,3960f4d88f7421d44dd2bd93e2e00d9bd036119d,208,97,124,795,786,-9,1.916,1.912,-0.004,23.111
PolinaFisch/java_practice,Polina,3e0f738c47b175022a17eb96a4aeac6a5f93c8c7,0,0,0,665,665,0,1.468,1.468,0.0,0.0
lee197/AI-Brain,lee197,160165413aec5a5c89741dee55b0e61cb756962f,1064,530,253,1633,1648,15,1.987,2.0,0.013,70.933
Thabonel/wheels-wins-landing-page,claude,151db2616dbef66a15db7e4f0fcd35ef1ea99fea,117,1,111,36740,36740,0,2.731,2.731,0.0,0.0
bluegreenmirror/loan-calculator-trial,bluegreenmirror,2c68d32e1416c429d3598c589aef1b94cdc1d381,185,0,140,51,51,0,1.275,1.275,0.0,0.0
Thabonel/wheels-wins-landing-page,claude,578868b410d7c0069e40a2acd470c6dae5251867,83,28,50,36740,36740,0,2.731,2.731,0.0,0.0
Thabonel/wheels-wins-landing-page,claude,9e5b47b8a473150331ba4f8229e09ad0819cdb09,214,7,166,36712,36740,28,2.73,2.731,0.001,7.643
Thabonel/wheels-wins-landing-page,claude,10915bc8d15032508e7c20d6ed16436fb6ea5474,123,106,-7,36715,36712,-3,2.73,2.73,0.0,41.0
brudallism/meal-planner-ai,brudallism,a768949d7a35daa4f893ce3c61033c417e092baa,2732,224,2471,164,197,33,1.451,1.551,0.1,82.788
KamalKishor-FrontEndDeveloper/chatbot-LLM,KAMAL KISHOR,f1768c2f1caa52efa88b3fdaf488ccde9e16447a,403,25,155,521,549,28,1.459,1.468,0.009,14.393
its-ansh-jha/AIDevPlatform,lisega8121,78560f1f4307b5d6c13bcb73e39ff60e7f39fa3d,849,51,688,768,804,36,1.485,1.531,0.046,23.583
Alvarezitooo/phoenix-monorepo-clean,Alvarezitooo,00d70b44bc2861335f66a9a1f311281dfd0ee5fb,144,36,68,5896,5915,19,2.637,2.643,0.006,7.579
disposable/disposable-email-domains,smeinecke,d1092db0348a7b4c98ae027c2cdde92898d40184,1508,2323,-815,282,282,0,6.13,6.13,0.0,0.0
siteoptz/siteoptz,Antonio Mendoza,698cd3b462026d5c9e88e909bf459e57e07e8a97,3126,846,2264,11501,11501,0,2.68,2.68,0.0,0.0
Satoshi91/legal-ai-rag,Satoshi91,6addef7d09dca6d58f8a448b8c8cbf1717a2f830,622,7,415,2,47,45,1.0,2.611,1.611,13.822
kp30evg/evg-ai,kp30evg,2f3f0a38394156e9cb97365f2f7fd2ec2372f31f,228,137,71,224,224,0,1.806,1.806,0.0,0.0
kp30evg/evg-ai,kp30evg,3800f46d6192bdc8b3d1f768b78be51f984b5a15,3061,716,1620,182,224,42,2.141,1.806,-0.335,72.881
mjnhbg3/Realtalk,Duke Kesten,5a6f36e5929aad622975908ab390580c90f6db12,2349,373,952,809,707,-102,4.703,4.337,-0.366,23.029
OpenTermsArchive/GenAI-snapshots,OTA-Bot,706b3b094b3f5d38d15e9f37967a822c7027ccfb,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,261ccba21359cde91ca2908c4476233d67cc1623,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,3b2cf6b11c537e5ae0358927d16a85bffc472591,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,8e04ac358aeaae2c8e196072b0dddd3895f24e5f,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
OpenTermsArchive/GenAI-snapshots,OTA-Bot,20555b374dcb1362b1ed692487b80e187abac0c4,2,2,0,4509,4509,0,3.854,3.854,0.0,0.0
